tid,lat_lon,time,price,poi,weather,precip
1,0.0 6.2,345,-1,Home,Clear,10
1,0.8 6.2,717,2,Library,Clouds,20
1,3.1 11,1032,2,Shopping,Clear,10
1,4.3 16.9,1179,-1,University,Clear,0
1,6 13.1,1344,1,Restaurant,Clear,0
1,0.6 6.5,1400,-1,Home,Clear,10
2,0.4 6.7,375,-1,Home,Clear,15
2,2.5 10.5,610,2,Library,Clouds,15
2,3 13.5,740,3,Restaurant,Clouds,20
2,5.8 16.5,840,-1,University,Clouds,15
2,6.3 13,1283,1,Restaurant,Clear,10
2,0.4 6.6,1410,-1,Home,Clear,15
3,1 6.8,410,-1,Home,Clear,10
3,4 14.5,635,2,Shopping,Clouds,15
3,4.3 17.9,855,-1,University,Clouds,15
3,6.3 13.1,1080,1,Restaurant,Clear,10
3,6.4 11,1335,2,Restaurant,Clear,10